framenumber, query_x, query_y, objx, objy, distance, 
12, 92.939571, 41.811307, 65.689562, 97.721055, 0.551850, 
12, 50.112453, 75.626117, 61.224112, 78.592607, 0.036007, 
12, 50.112453, 75.626117, 61.224112, 78.592607, 0.042750, 
12, 138.052986, 61.234065, 14.411257, 57.903233, 0.171908, 
12, 37.271268, 76.104432, 47.020443, 79.671353, 0.043679, 
12, 48.273717, 57.551249, 60.162946, 60.890500, 0.079611, 
12, 97.309994, 21.807976, 141.400307, 18.683836, 0.298500, 
12, 31.364915, 57.678499, 60.162946, 60.890500, 0.148108, 
12, 48.529628, 57.745676, 60.162946, 60.890500, 0.068821, 
12, 77.751771, 61.105285, 129.832282, 65.493890, 0.184602, 
12, 108.460492, 62.044067, 129.832282, 65.493890, 0.167492, 
13, 99.536302, 64.999861, 132.517414, 60.266484, 0.143091, 
13, 46.660453, 79.977430, 56.307176, 83.473150, 0.160181, 
13, 136.326046, 102.614156, 91.789764, 73.935374, 0.216072, 
13, 31.197853, 95.491275, 81.927684, 91.117765, 0.265672, 
13, 108.190728, 96.057076, 119.566440, 39.068730, 0.221578, 
13, 102.349462, 65.901753, 129.507955, 92.391181, 0.090770, 
13, 51.019928, 47.344097, 20.453053, 49.440816, 0.190747, 
13, 58.033616, 74.207231, 69.042174, 77.369515, 0.133364, 
13, 42.859467, 95.940292, 53.227240, 99.267141, 0.180077, 
13, 59.801349, 69.208000, 70.744840, 71.834056, 0.037920, 
13, 50.623210, 75.555538, 60.536898, 78.778728, 0.048991, 
13, 48.013175, 57.684484, 60.065040, 60.851677, 0.090675, 
13, 108.632601, 62.266598, 143.942512, 32.360158, 0.273697, 
14, 99.542508, 64.971851, 139.462535, 53.422802, 0.043059, 
14, 46.552224, 79.935711, 56.419570, 83.413852, 0.164122, 
14, 31.170669, 95.133831, 81.927837, 91.117871, 0.260658, 
14, 59.215376, 51.884219, 69.474027, 54.075576, 0.069420, 
14, 78.241236, 94.018217, 146.844378, 54.875326, 0.080640, 
14, 79.969189, 33.888592, 124.409245, 86.127725, 0.045710, 
14, 106.408387, 41.906594, 124.409245, 86.127725, 0.132625, 
14, 142.171964, 49.207393, 113.875548, 68.631904, 0.271292, 
14, 25.756428, 25.058364, 33.497565, 25.523684, 0.198797, 
14, 127.610130, 105.042195, 99.602215, 77.947946, 0.223091, 
14, 42.941432, 95.870051, 53.133908, 99.215183, 0.180063, 
14, 60.025114, 69.220563, 70.700151, 71.832325, 0.051876, 
14, 68.732760, 52.476750, 112.677540, 55.726777, 0.463894, 
14, 100.470376, 41.692455, 134.196611, 102.694432, 0.258809, 
14, 144.625259, 23.597797, 120.993860, 98.349024, 0.400204, 
14, 50.125937, 75.533486, 62.362873, 78.657485, 0.053166, 
